,0_indian,1_crime murder,2_fairy kingdom,3_mafia,4_space alien,5_terror,6_law_trial,7_german_nazi,8_crime_robbery,9_school,10_jungle,11_cartoons,12_oriental,13_acting hollywood,14_tom&jerry,15_sports,16_prison,17_web,18_cannibals,19_pirates,20_psycho,21_aircraft_terrorist,22_house,23_art,24_christmas,25_house2,26_chinese,27_film_general
8730,-0.017998410388827324,-0.0009428025223314762,0.5339722037315369,-0.026211900636553764,0.2948459982872009,-0.5420357584953308,0.19304032623767853,-0.576415479183197,0.08360031247138977,0.6951495409011841,0.3074418604373932,0.38934245705604553,-0.3314290940761566,0.5104362368583679,0.205716073513031,0.36745768785476685,0.14267636835575104,0.34172412753105164,-0.04013547673821449,0.10059583932161331,0.3318409323692322,-0.40142732858657837,0.46585333347320557,0.17750869691371918,2.200174331665039,-0.06548561900854111,-0.12530873715877533,0.23244091868400574
8548,0.3849182426929474,0.44126254320144653,0.6976270079612732,0.49944746494293213,0.6642695665359497,0.4996471107006073,0.5716638565063477,0.34972119331359863,0.5543456673622131,0.7594712972640991,0.515098512172699,0.2644213140010834,0.5282759666442871,0.6424051523208618,0.20056664943695068,0.803417980670929,0.7494363784790039,0.08548103272914886,0.6120008230209351,0.1832660734653473,0.8752583861351013,0.15629324316978455,0.4470868408679962,0.31183692812919617,0.9745733737945557,0.5540497303009033,0.2547270953655243,0.5484606027603149
208,0.14609874784946442,0.19683298468589783,0.4196622371673584,0.1329411417245865,-0.1034785583615303,0.03273923695087433,0.13419006764888763,0.06297290325164795,-0.04176659137010574,0.1582447588443756,0.17950592935085297,0.08251792937517166,-0.015204385854303837,0.19891437888145447,-0.09425492584705353,0.12148921936750412,0.09139421582221985,0.00038964449777267873,0.0234963521361351,0.14178094267845154,0.29683423042297363,-0.10073348879814148,0.17829389870166779,0.05697862058877945,0.14170557260513306,0.19713927805423737,-0.10383544862270355,0.13356751203536987
2795,0.1353043019771576,0.18659311532974243,0.30118072032928467,0.12026655673980713,0.4801985025405884,0.1583782434463501,0.03857694938778877,0.09118527173995972,0.1428857296705246,0.3702665865421295,0.34689781069755554,0.3523229956626892,0.06666002422571182,0.20726260542869568,0.20274639129638672,0.25766894221305847,0.07208257913589478,0.06255978345870972,0.22979965806007385,0.5220751166343689,0.12011069804430008,0.08610396832227707,0.23844929039478302,0.2801695466041565,0.2664131820201874,0.2002376914024353,0.12705710530281067,0.13479408621788025
4302,0.07368333637714386,-0.22661693394184113,0.3876751661300659,0.04588552191853523,0.3496263921260834,0.18178287148475647,-0.13327814638614655,-0.0006273274775594473,0.07740127295255661,0.34263283014297485,0.513185441493988,0.543224036693573,0.0913868397474289,0.12918879091739655,0.8117114305496216,0.12013576179742813,0.1027490496635437,0.6062353253364563,0.24124707281589508,0.3789428472518921,-0.005357780028134584,0.005102907307446003,0.12300314754247665,-0.025426842272281647,0.23117569088935852,0.08177734166383743,0.2420920580625534,-0.05832233652472496
798,0.0883277952671051,0.3784453272819519,0.31825920939445496,0.05414849892258644,0.051900461316108704,-0.030953481793403625,-0.060125164687633514,0.018992455676198006,-0.09263378381729126,0.4367406666278839,0.2981850802898407,0.023729681968688965,-0.38149723410606384,0.2679753303527832,0.30379754304885864,0.3663932979106903,0.3620741367340088,0.33081766963005066,0.32804545760154724,-0.16317246854305267,0.0762987732887268,0.10290344804525375,0.2975481450557709,0.11119930446147919,1.8928451538085938,0.09669571369886398,-0.18509449064731598,0.16104990243911743
8738,0.7150781154632568,0.41982501745224,0.9173311591148376,0.01664753630757332,0.010993614792823792,-0.3866356909275055,0.4963231682777405,0.06708469986915588,0.38649308681488037,0.8680922389030457,0.4057151973247528,0.5150887966156006,0.05414943769574165,0.3266364634037018,0.9520875215530396,0.8761886954307556,0.06058202683925629,0.4697311818599701,0.34924834966659546,1.0251646041870117,0.3055594563484192,-0.17201218008995056,0.08711174130439758,0.6412225961685181,-0.04545260965824127,0.6443392038345337,0.2890803813934326,0.6537401676177979
734,0.44178664684295654,0.27841809391975403,0.29350024461746216,0.3665817677974701,0.4832836985588074,0.9765511155128479,0.36718881130218506,0.7787439823150635,0.3789190351963043,0.3187432289123535,0.3367057740688324,0.04360612854361534,0.6526800990104675,0.19973044097423553,0.1768786609172821,0.3441803753376007,0.30861696600914,0.34542351961135864,0.16665014624595642,0.1378423124551773,0.28681665658950806,0.6809036135673523,0.10834861546754837,0.16400116682052612,-0.02916708029806614,0.11657234281301498,0.5185310244560242,0.20320788025856018
5257,0.25967663526535034,0.5387319326400757,0.45616939663887024,0.5519267320632935,0.06580814719200134,0.2690383195877075,0.682971715927124,0.3471170663833618,0.5438228249549866,0.39284083247184753,0.34399688243865967,0.23926067352294922,0.23614637553691864,0.7737804651260376,0.4932766556739807,0.27545395493507385,0.4994407594203949,0.2563442885875702,0.7226701974868774,-0.04162163659930229,0.5888819694519043,0.2480112910270691,0.6982102990150452,0.7608604431152344,0.8058602809906006,0.6726421117782593,0.1931881606578827,0.19270014762878418
3548,0.9651726484298706,1.392477035522461,1.1384321451187134,0.7407113909721375,0.2624981701374054,-0.18200959265232086,0.49278920888900757,0.5408692359924316,0.5263356566429138,0.9450346231460571,0.47714218497276306,0.6449897885322571,0.2865048050880432,0.5662895441055298,0.6115837693214417,0.33143579959869385,0.7242779731750488,0.5420851707458496,1.1007802486419678,0.5184304118156433,1.0158188343048096,0.18940390646457672,1.2486817836761475,1.607858419418335,0.679089367389679,1.0507533550262451,0.07794288545846939,0.6630304455757141
